id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
local-foods-houston,Local Foods,"['sandwiches', 'tradamerican']",29.719123,-95.416585,TX,"6100 Main St, Houston, TX 77005",1951.4810713614,4.5,835,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,Yes,No,Yes,,2
lucilles-houston,Lucille's,"['newamerican', 'southern']",29.7238808,-95.3851471,TX,"6100 Main St, Houston, TX 77005",1170.5456312637,3.5,193,False,Yes,No,Yes,Yes,,"Brunch, Dinner",Street,Yes,,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,No,,Yes,Yes,,2
pax-americana-houston,Pax Americana,['newamerican'],29.7335654,-95.390868,TX,"6100 Main St, Houston, TX 77005",1591.5832811782,4,133,False,Yes,No,No,Yes,,Dinner,Valet,No,,No,Yes,Dressy,Trendy,Loud,Full Bar,Yes,No,No,,Yes,No,,3
the-raven-grill-houston,The Raven Grill,['newamerican'],29.725893,-95.406494,TX,"6100 Main St, Houston, TX 77005",1169.0531545127,3.5,225,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,No,,Yes,Yes,,2
m-and-m-grill-houston,M&M Grill,"['mediterranean', 'mexican', 'burgers']",29.701254,-95.38559,TX,"6100 Main St, Houston, TX 77005",2339.8947471046,4.5,236,False,Yes,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,No,No,No,1
dak-and-bop-houston,Dak & Bop,"['chicken_wings', 'korean']",29.721726,-95.382427,TX,"6100 Main St, Houston, TX 77005",1362.3052959138,4,186,False,No,No,Yes,Yes,No,Dinner,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Hipster,Average,Full Bar,No,No,Yes,,Yes,No,,2
revelry-on-richmond-houston,Revelry on Richmond,"['gastropubs', 'sportsbars', 'beergardens']",29.734076,-95.399994,TX,"6100 Main St, Houston, TX 77005",1593.8821596645,4,93,False,No,No,Yes,Yes,,Lunch,Valet,Yes,,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
bodegas-taco-shop-houston,Bodegas Taco Shop,"['mexican', 'bars', 'tex-mex']",29.7235673259,-95.3873677104,TX,"6100 Main St, Houston, TX 77005",954.9585003328,3.5,242,False,Yes,Yes,Yes,Yes,,Lunch,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,No,Yes,,1
benjys-houston-3,benjy's,"['lounges', 'newamerican']",29.719421,-95.416392,TX,"6100 Main St, Houston, TX 77005",1931.319461286,4,623,False,Yes,No,Yes,Yes,,Brunch,Private Lot,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,No,No,,Yes,No,,2
ambrosia-houston,Ambrosia,"['tapasmallplates', 'pizza', 'asianfusion']",29.73196,-95.409874,TX,"6100 Main St, Houston, TX 77005",1853.3124598062,4,362,False,Yes,No,Yes,Yes,,Dinner,"Valet, Street, Private Lot",No,,No,Yes,Dressy,Trendy,Average,Full Bar,Yes,Free,No,No,Yes,Yes,,2
bowl-café-houston-2,Bowl Café,"['sandwiches', 'vegetarian', 'salad']",29.734156,-95.387535,TX,"6100 Main St, Houston, TX 77005",1806.8538477623,4,358,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,Yes,,No,Yes,,1
torchys-tacos-houston-2,Torchy's Tacos,"['mexican', 'breakfast_brunch', 'tex-mex']",29.716904,-95.415489,TX,"6100 Main St, Houston, TX 77005",1885.833148616,4,365,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,Yes,No,Yes,No,No,Yes,,1
woodbar-houston,Woodbar,"['coffee', 'tapas']",29.7374496,-95.3906937,TX,"6100 Main St, Houston, TX 77005",1990.6272670629,4,24,False,No,No,No,Yes,,,,Yes,,No,Yes,Casual,,Average,Full Bar,Yes,Free,Yes,,No,,,2
gusto-gourmet-houston,Gusto Gourmet,"['venezuelan', 'mediterranean']",29.7362906,-95.4108062,TX,"6100 Main St, Houston, TX 77005",2276.0788053963,4.5,67,False,Yes,Yes,Yes,Yes,,Brunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,No,Yes,Yes,,2
