id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
boston-indian-kitchen-boston,Boston Indian Kitchen,['indpak'],42.349693,-71.089233,MA,"233 Bay State Road, Boston, MA 02215",1199.4733031145315,4.5,44,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,Beer & Wine Only,No,Free,No,,No,,,1
mei-mei-street-kitchen-boston,Mei Mei Street Kitchen,"['foodtrucks', 'asianfusion']",42.3474002278245,-71.1061915963046,MA,"233 Bay State Road, Boston, MA 02215",435.1694619136597,4.0,140,False,Yes,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,No,Yes,Yes,,1
island-creek-oyster-bar-boston,Island Creek Oyster Bar,['seafood'],42.348682243174,-71.095118452365,MA,"233 Bay State Road, Boston, MA 02215",749.3281108976001,4.5,1349,False,Yes,No,No,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,,Yes,No,,3
brothers-restaurant-brookline,Brothers Restaurant,"['newamerican', 'mexican', 'italian']",42.3451334238052,-71.1267442256212,MA,"233 Bay State Road, Boston, MA 02215",1998.931079985212,4.5,50,False,Yes,Yes,Yes,Yes,,Brunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,No,,Yes,Yes,,2
el-pelón-taquería-boston-3,El Pelón Taquería,"['mexican', 'gluten_free', 'vegetarian']",42.3432216793299,-71.0989652574062,MA,"233 Bay State Road, Boston, MA 02215",949.8075397150437,4.5,669,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,,No,Yes,,1
audubon-boston-boston,Audubon Boston,['tradamerican'],42.347459,-71.10323,MA,"233 Bay State Road, Boston, MA 02215",381.6419216014482,4.0,47,False,No,No,No,Yes,,,,Yes,,No,Yes,Casual,Hipster,Average,Full Bar,Yes,No,Yes,,Yes,,,2
eastern-standard-kitchen-and-drinks-boston-3,Eastern Standard Kitchen and Drinks,"['newamerican', 'lounges', 'breakfast_brunch']",42.348740324378,-71.0960168391466,MA,"233 Bay State Road, Boston, MA 02215",686.0571226222706,4.0,1235,False,Yes,No,Yes,Yes,,Dinner,"Valet, Street",Yes,Yes,No,Yes,Casual,Classy,Average,Full Bar,Yes,No,No,,Yes,No,,3
gyu-kaku-japanese-bbq-brookline,Gyu-Kaku Japanese BBQ,"['japanese', 'bbq']",42.3464102,-71.1070482,MA,"233 Bay State Road, Boston, MA 02215",565.4488669036671,4.0,225,False,Yes,No,Yes,Yes,,"Brunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,No,Yes,No,,2
nud-pob-thai-cuisine-boston,Nud Pob Thai Cuisine,['thai'],42.349852949539,-71.107011845593,MA,"233 Bay State Road, Boston, MA 02215",291.4840354184205,4.0,184,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,,1
mei-mei-restaurant-boston,Mei Mei Restaurant,['asianfusion'],42.3474142084205,-71.1062359253643,MA,"233 Bay State Road, Boston, MA 02215",435.49362387223425,4.0,100,False,Yes,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Trendy,Average,Beer & Wine Only,No,No,No,No,Yes,Yes,,2
otto-boston,OTTO,"['pizza', 'bars']",42.350441,-71.1152573,MA,"233 Bay State Road, Boston, MA 02215",944.3822018747876,4.0,92,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,,1
sweet-cheeks-boston,Sweet Cheeks,"['southern', 'bars', 'bbq']",42.3438762985484,-71.101050100398,MA,"233 Bay State Road, Boston, MA 02215",808.5574593701526,3.5,752,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,,Yes,Yes,,2
the-hawthorne-boston-2,The Hawthorne,"['newamerican', 'cocktailbars']",42.3486925877382,-71.0953666879285,MA,"233 Bay State Road, Boston, MA 02215",729.681189376647,4.5,180,False,No,No,No,Yes,,Late Night,"Valet, Street",Yes,Yes,No,Yes,Dressy,Classy,Average,Full Bar,Yes,Free,No,,Yes,No,,2
the-lower-depths-boston,The Lower Depths,"['pubs', 'tradamerican']",42.348511,-71.093849,MA,"233 Bay State Road, Boston, MA 02215",847.7095141032669,4.0,358,False,No,No,No,No,,,Street,Yes,No,No,Yes,Casual,,Very Loud,Beer & Wine Only,Yes,No,Yes,,Yes,No,,2
dimitrios-cuisine-cambridge,Dimitrios Cuisine,"['greek', 'pizza']",42.3574327404898,-71.1078020465196,MA,"233 Bay State Road, Boston, MA 02215",802.3429206190782,4.0,57,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,,Yes,,No,Yes,,1
tasty-burger-boston,Tasty Burger,"['burgers', 'hotdog']",42.3446541,-71.0979691,MA,"233 Bay State Road, Boston, MA 02215",810.8136059505356,4.0,619,False,No,No,Yes,Yes,,"Lunch, Dinner, Late Night",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,,Yes,No,No,1
