id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
heavenly-buffaloes-durham,Heavenly Buffaloes,"['chicken_wings', 'beer_and_wine', 'vegetarian']",36.00967,-78.920303,NC,"2138 Campus Dr, Durham, NC 27708",1601.8033732989095,4.5,59,False,No,Yes,Yes,Yes,,"Lunch, Late Night","Street, Private Lot",Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,Yes,No,Yes,,2
local-22-durham,Local 22,"['newamerican', 'bars']",36.007965,-78.926498,NC,"2138 Campus Dr, Durham, NC 27708",1180.919049710659,4.0,97,False,Yes,No,Yes,Yes,,Brunch,Private Lot,Yes,,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,,Yes,Yes,,2
gregorias-cuban-steakhouse-durham-2,Gregoria's Cuban Steakhouse,"['cuban', 'breakfast_brunch', 'caribbean']",36.01161,-78.9307,NC,"2138 Campus Dr, Durham, NC 27708",1336.808206064498,4.0,81,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Intimate,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
six-plates-durham,Six Plates,"['tapas', 'wine_bars']",36.0069860210291,-78.9477113589015,NC,"2138 Campus Dr, Durham, NC 27708",1529.8550852269605,4.0,133,False,No,No,No,Yes,,"Dinner, Late Night",Private Lot,Yes,Yes,No,Yes,Casual,"Intimate, Romantic",Average,Full Bar,Yes,Free,Yes,,No,No,,2
nosh-durham,Nosh,"['burgers', 'pizza', 'sandwiches']",36.007468,-78.9472,NC,"2138 Campus Dr, Durham, NC 27708",1520.4327445239362,4.0,149,False,Yes,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,No,1
the-federal-durham,The Federal,"['pubs', 'newamerican']",36.000702197804,-78.909943702314,NC,"2138 Campus Dr, Durham, NC 27708",2097.912838545884,4.0,223,False,No,No,Yes,Yes,,Dinner,Street,No,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
vin-rouge-durham,Vin Rouge,"['french', 'breakfast_brunch']",36.0106213373,-78.9223137726,NC,"2138 Campus Dr, Durham, NC 27708",1556.5148444183446,4.0,215,False,Yes,No,Yes,Yes,No,Dinner,"Street, Private Lot",Yes,Yes,No,Yes,Dressy,Intimate,Average,Full Bar,Yes,No,No,,Yes,Yes,,2
the-little-dipper-durham,The Little Dipper,['fondue'],35.9999313,-78.9101563,NC,"2138 Campus Dr, Durham, NC 27708",2075.6833234393544,4.5,83,False,Yes,No,No,Yes,,Dinner,"Street, Private Lot, Validated",Yes,Yes,Yes,Yes,Casual,Trendy,Average,Full Bar,No,No,No,No,Yes,No,,3
dains-place-durham,Dain's Place,"['tradamerican', 'burgers', 'bars']",36.0095596,-78.9218674,NC,"2138 Campus Dr, Durham, NC 27708",1501.2109810843679,4.0,137,False,No,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,No,2
toast-durham,Toast,['sandwiches'],35.996428,-78.903126,NC,"2138 Campus Dr, Durham, NC 27708",2733.9837631310197,4.0,279,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,No,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,,No,No,,1
