id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
brown-rice-korean-grill-baltimore,Brown Rice Korean Grill,['korean'],39.316543,-76.617202,MD,"3400 North Charles Street, Baltimore, MD 21218",1570.7533164489678,4.5,58,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,No,Yes,,1
woodberry-kitchen-baltimore,Woodberry Kitchen,['newamerican'],39.3317672566408,-76.6454801174135,MD,"3400 North Charles Street, Baltimore, MD 21218",2192.088784165941,4.5,1174,False,Yes,No,No,Yes,,Dinner,Valet,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,No,,Yes,Yes,,3
the-food-market-baltimore,The Food Market,['newamerican'],39.3310122069348,-76.6331992056355,MD,"3400 North Charles Street, Baltimore, MD 21218",1132.720434789731,4.0,338,False,Yes,No,No,Yes,,"Brunch, Dinner","Valet, Street",Yes,,No,Yes,Casual,Trendy,Average,Full Bar,No,No,No,,Yes,Yes,,2
parts-and-labor-baltimore,Parts & Labor,"['butcher', 'restaurants']",39.319378,-76.620461,MD,"3400 North Charles Street, Baltimore, MD 21218",1241.8423756775837,4.0,150,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Hipster,Average,Full Bar,No,Free,No,,Yes,No,,3
cafe-cito-baltimore-3,Cafe Cito,['cafes'],39.33003,-76.629608,MD,"3400 North Charles Street, Baltimore, MD 21218",824.020910088612,4.5,44,False,No,No,Yes,Yes,,Brunch,Street,Yes,,Yes,No,Casual,Casual,Average,No,Yes,Free,No,,Yes,Yes,,2
birroteca-baltimore-baltimore-2,Birroteca Baltimore,"['italian', 'pizza']",39.3271907,-76.6392634,MD,"3400 North Charles Street, Baltimore, MD 21218",1693.247401981003,4.0,268,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,Yes,Free,Yes,,Yes,No,,2
bottega-baltimore,Bottega,['italian'],39.3095234,-76.6176717,MD,"3400 North Charles Street, Baltimore, MD 21218",2340.943327919126,4.5,98,False,Yes,No,No,Yes,,Dinner,Street,Yes,,No,No,Casual,Casual,Average,No,No,No,No,,Yes,No,,2
souvlaki-authentic-greek-cuisine-baltimore,Souvlaki Authentic Greek Cuisine,['greek'],39.3309756,-76.6339863,MD,"3400 North Charles Street, Baltimore, MD 21218",1200.1481312593949,4.5,90,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,,No,No,,1
cafe-azafran-baltimore,Cafe Azafran,"['tradamerican', 'cafes']",39.3316269,-76.6243591,MD,"3400 North Charles Street, Baltimore, MD 21218",372.625100768035,4.5,17,False,Yes,No,Yes,Yes,,Lunch,,,Yes,Yes,Yes,Casual,,Average,No,Yes,Free,No,,No,Yes,,1
the-dizz-baltimore,The Dizz,"['tradamerican', 'burgers', 'sandwiches']",39.3232002,-76.6231613,MD,"3400 North Charles Street, Baltimore, MD 21218",855.4964506377999,3.5,121,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,No,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,No,2
mi-comalito-baltimore,Mi Comalito,['mexican'],39.3131441583793,-76.6164906317462,MD,"3400 North Charles Street, Baltimore, MD 21218",1953.4975833102792,4.5,45,False,No,Yes,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,Yes,,Yes,Yes,,2
the-new-wyman-park-restaurant-baltimore,The New Wyman Park Restaurant,['tradamerican'],39.317997,-76.619591,MD,"3400 North Charles Street, Baltimore, MD 21218",1390.5686966187313,4.0,31,False,No,No,Yes,Yes,,Breakfast,Street,,,Yes,No,Casual,Divey,Average,No,No,No,No,,Yes,No,,1
petes-grille-baltimore,Pete's Grille,"['breakfast_brunch', 'diners', 'tradamerican']",39.327057,-76.609657,MD,"3400 North Charles Street, Baltimore, MD 21218",971.87238428335,4.0,112,False,No,No,Yes,No,,"Breakfast, Brunch",Street,Yes,No,Yes,No,Casual,"Divey, Casual",Average,No,No,No,No,,Yes,No,,1
