id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
mirch-masala-grill-cedar-falls,Mirch Masala Grill,"['indpak', 'buffets', 'pakistani']",42.5168991089,-92.4563369751,IA,"1227 W 27th St, Cedar Falls, IA 50614",369.4017521483,4,26,False,No,No,No,No,No,"Lunch, Dinner","Street, Private Lot",Yes,No,Yes,Yes,Casual,Casual,Average,No,No,Paid,No,,No,No,,2
whiskey-road-cedar-falls,Whiskey Road,"['bars', 'tradamerican']",42.534863,-92.445213,IA,"1227 W 27th St, Cedar Falls, IA 50614",2454.1787662559,3.5,25,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,,Yes,No,,2
the-other-place-cedar-falls,The Other Place,['pizza'],42.5172615,-92.455452,IA,"1227 W 27th St, Cedar Falls, IA 50614",450.6214097885,4,15,False,Yes,Yes,Yes,Yes,,Late Night,Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,,Yes,,,2
la-calle-latin-american-bistro-cedar-falls,"La Calle, Latin American Bistro",['latin'],42.517033303,-92.4560495093,IA,"1227 W 27th St, Cedar Falls, IA 50614",396.3033813019,4.5,12,False,No,No,Yes,Yes,,,Street,Yes,,Yes,Yes,Casual,,Average,Beer & Wine Only,Yes,No,Yes,,Yes,,,2
montage-cedar-falls,Montage,"['diners', 'wine_bars', 'seafood']",42.536178,-92.445114,IA,"1227 W 27th St, Cedar Falls, IA 50614",2584.9581563707,4,26,False,Yes,No,Yes,Yes,,Dinner,Street,No,No,No,Yes,Dressy,Trendy,Average,Full Bar,No,,No,,Yes,No,,2
js-homestyle-cooking-cedar-falls,J's Homestyle Cooking,"['comfortfood', 'sandwiches']",42.509201,-92.4666214,IA,"1227 W 27th St, Cedar Falls, IA 50614",905.5184452209,4.5,12,False,,,,,,,,,,,Yes,,,,,,,,,,,,
asian-fusion-cedar-falls,Asian Fusion,"['asianfusion', 'vietnamese']",42.5113789085,-92.4313272492,IA,"1227 W 27th St, Cedar Falls, IA 50614",2457.3545187499,4,15,False,Yes,No,Yes,Yes,,,Private Lot,No,,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,No,No,Yes,,Yes,No,,2
pablos-mexican-grill-cedar-falls,Pablo's Mexican Grill,['mexican'],42.5355682,-92.4451218,IA,"1227 W 27th St, Cedar Falls, IA 50614",2512.759514194,4.5,32,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,No,No,Yes,,1
pepperjax-grill-cedar-falls-3,PepperJax Grill,"['newamerican', 'sandwiches', 'cheesesteaks']",42.5128460781,-92.4393666012,IA,"1227 W 27th St, Cedar Falls, IA 50614",1779.0505091577,4,10,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,No,No,Yes,,No,Yes,,1
sidecar-coffee-cedar-falls,Sidecar Coffee,"['coffee', 'sandwiches']",42.51729,-92.456166,IA,"1227 W 27th St, Cedar Falls, IA 50614",396.9772057789,4.5,20,False,No,No,Yes,Yes,,Brunch,Street,Yes,,Yes,Yes,Casual,,Average,Beer & Wine Only,Yes,Free,No,No,No,No,,1
ginger-thai-cuisine-cedar-falls,Ginger Thai Cuisine,['thai'],42.5368966162,-92.4458071589,IA,"1227 W 27th St, Cedar Falls, IA 50614",2629.4140605256,4.5,19,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,,Yes,No,Casual,Casual,Average,No,No,No,No,,Yes,No,,2
maid-rite-cedar-falls,Maid-Rite,['diners'],42.5351715,-92.4446335,IA,"1227 W 27th St, Cedar Falls, IA 50614",2508.3168568433,4.5,10,False,No,No,Yes,Yes,,,Street,Yes,,Yes,No,Casual,Casual,Average,No,Yes,No,No,,Yes,No,,2
mulligans-brick-oven-pub-and-grill-cedar-falls,Mulligan's Brick Oven Pub & Grill,['pizza'],42.5215988,-92.4437637,IA,"1227 W 27th St, Cedar Falls, IA 50614",1519.8559227045,3,14,False,No,No,Yes,Yes,,,Private Lot,Yes,,Yes,Yes,Casual,,Average,Full Bar,Yes,Free,Yes,,Yes,,,2
