id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
o-bryans-nine-irish-brothers-west-lafayette-2,O'Bryan's Nine Irish Brothers,"['irish', 'pubs', 'musicvenues']",40.4231467,-86.9030315,IN,"610 Purdue Mall, West Lafayette, IN 47907",1116.2860787547793,4.5,143,False,Yes,No,Yes,Yes,No,"Lunch, Dinner",Private Lot,Yes,Yes,No,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,No,Yes,Yes,,2
sylvias-brick-oven-lafayette,Sylvia's Brick Oven,"['pizza', 'italian', 'bars']",40.418266,-86.889542,IN,"610 Purdue Mall, West Lafayette, IN 47907",2378.254905908092,4.0,67,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,No,,Yes,Yes,,2
latea-bubble-tea-lounge-west-lafayette,Latea Bubble Tea Lounge,"['taiwanese', 'bubbletea', 'desserts']",40.4210848,-86.9016988,IN,"610 Purdue Mall, West Lafayette, IN 47907",1337.2989513152984,4.5,36,False,No,Yes,Yes,Yes,No,Dessert,"Garage, Street, Private Lot, Validated",Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,No,No,No,Yes,,1
maru-japanese-sushi-restaurant-west-lafayette,Maru Japanese Sushi Restaurant,"['sushi', 'japanese']",40.4243011,-86.9070663,IN,"610 Purdue Mall, West Lafayette, IN 47907",769.7901763912664,4.0,111,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,Yes,No,,2
majé-sushi-west-lafayette-2,Majé Sushi,['sushi'],40.4239670187235,-86.9071132689714,IN,"610 Purdue Mall, West Lafayette, IN 47907",780.9805702827372,4.5,27,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,Yes,Yes,No,Casual,Casual,Quiet,No,No,No,No,,No,Yes,,2
fiesta-mexican-grill-west-lafayette,Fiesta Mexican Grill,['mexican'],40.4243584,-86.9068069,IN,"610 Purdue Mall, West Lafayette, IN 47907",782.8245515946418,4.0,33,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,,1
blue-nile-restaurant-west-lafayette,Blue Nile Restaurant,"['mideastern', 'mediterranean']",40.424522,-86.908325,IN,"610 Purdue Mall, West Lafayette, IN 47907",659.3671711115685,4.0,49,False,Yes,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,Yes,No,,1
green-leaf-vietnamese-cuisine-west-lafayette,Green Leaf Vietnamese Cuisine,['vietnamese'],40.421745,-86.905075,IN,"610 Purdue Mall, West Lafayette, IN 47907",1081.248666982094,3.5,69,False,No,No,Yes,Yes,,Lunch,Garage,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,Yes,No,,1
sacred-grounds-lafayette,Sacred Grounds,"['coffee', 'breakfast_brunch', 'musicvenues']",40.4109824,-86.8987342,IN,"610 Purdue Mall, West Lafayette, IN 47907",2332.748755890263,5.0,7,False,No,No,No,Yes,,,Private Lot,Yes,Yes,Yes,Yes,Casual,,,,No,Free,,,,,,1
triple-xxx-restaurant-west-lafayette,Triple XXX Restaurant,"['diners', 'burgers']",40.422863,-86.905387,IN,"610 Purdue Mall, West Lafayette, IN 47907",980.8289198375631,3.5,201,False,No,No,Yes,No,,Lunch,Private Lot,Yes,Yes,Yes,No,Casual,Casual,Average,No,No,No,No,,Yes,No,No,1
café-literato-west-lafayette,Café Literato,['cafes'],40.447291,-86.921301,IN,"610 Purdue Mall, West Lafayette, IN 47907",2196.968672121977,4.0,25,False,No,No,Yes,Yes,No,"Breakfast, Brunch",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,No,No,Yes,,1
chumleys-lafayette,Chumley's,"['pubs', 'tradamerican']",40.4188,-86.894599,IN,"610 Purdue Mall, West Lafayette, IN 47907",1977.5590137277743,4.0,61,False,Yes,No,Yes,Yes,,Late Night,"Garage, Street",Yes,Yes,No,Yes,Casual,Casual,Loud,Full Bar,No,Free,Yes,,Yes,Yes,,2
