id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
martys-meats-rochester-2,Marty's Meats,"['foodtrucks', 'newamerican', 'sandwiches']",43.0849374270759,-77.6870727539062,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",1023.1591019885395,4.5,23,False,No,No,Yes,Yes,,Lunch,,No,,Yes,Yes,Casual,,,,No,,No,,No,Yes,,1
lovin-cup-rochester,Lovin' Cup,"['musicvenues', 'coffee', 'newamerican']",43.092040268456,-77.656853212371,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",1693.0173674754064,4.0,76,False,Yes,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,No,Yes,Casual,Trendy,Loud,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
macgregors-grill-and-tap-rochester,MacGregors Grill & Tap,"['pubs', 'chicken_wings', 'tradamerican']",43.0924492,-77.6502228,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2157.0747745013914,3.5,62,False,Yes,No,Yes,Yes,No,"Lunch, Late Night",Private Lot,Yes,Yes,No,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
tony-pepperoni-rochester,Tony Pepperoni,['pizza'],43.0693702697754,-77.6457595825195,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2846.090982425542,4.5,26,False,No,Yes,Yes,Yes,,Lunch,Private Lot,,Yes,Yes,Yes,Casual,Casual,Quiet,No,No,No,Yes,,No,,,2
lehigh-restaurant-henrietta-2,Lehigh Restaurant,"['tradamerican', 'diners']",43.056949,-77.654098,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3425.8914526905487,4.5,15,False,Yes,No,Yes,Yes,,,,No,,Yes,Yes,Casual,,Quiet,No,No,Free,No,,Yes,No,,1
papaya-asian-kitchen-and-bar-rochester,Papaya Asian Kitchen & Bar,"['lounges', 'asianfusion', 'sushi']",43.0829260414949,-77.6309628337441,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3541.1179262188684,4.0,55,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,,Yes,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2
dibellas-old-fashioned-submarines-rochester-6,DiBella's Old Fashioned Submarines,"['sandwiches', 'delis']",43.0878296,-77.6261902,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3933.5428326123874,4.5,117,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,Yes,,1
aladdins-natural-eatery-rochester-5,Aladdin's Natural Eatery,"['mediterranean', 'greek']",43.0913267,-77.6558943,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",1720.525814780575,3.5,22,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,No,,Yes,,,2
peppermints-restaurant-henrietta,Peppermints Restaurant,"['burgers', 'sandwiches', 'breakfast_brunch']",43.0553894,-77.6532211,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3625.892121167818,4.0,23,False,No,No,Yes,Yes,,"Breakfast, Brunch",Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,Yes,No,No,1
canton-house-rochester,Canton House,"['dimsum', 'cantonese']",43.0807451506716,-77.6440421594561,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2503.023031263213,3.5,28,False,No,No,Yes,Yes,,Brunch,,Yes,,Yes,Yes,Casual,,Average,,No,No,No,,Yes,,,1
tandoor-of-india-rochester,Tandoor of India,['indpak'],43.0908699,-77.6437988,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2583.6665792386734,4.0,78,False,Yes,No,Yes,Yes,,Lunch,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,Yes,Yes,,2
pickle-nicks-submarines-rochester-2,Pickle Nicks Submarines,"['delis', 'sandwiches']",43.090889,-77.6479111,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2293.9125411318246,4.0,8,False,No,No,Yes,Yes,,,,Yes,Yes,Yes,Yes,Casual,,Quiet,No,No,No,Yes,,No,Yes,,1
d-p-dough-henrietta,D.P. Dough,"['pizza', 'hotdogs']",43.0906105,-77.6423111,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2737.495145371125,4.0,5,False,No,Yes,Yes,Yes,,,,No,,Yes,Yes,Casual,,Average,No,No,Free,Yes,,No,Yes,No,1
henrietta-hots-rochester,Henrietta Hots,"['burgers', 'hotdogs', 'hotdog']",43.082649230957,-77.6398849487305,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2817.590383496786,3.5,25,False,No,No,Yes,Yes,,Late Night,Private Lot,No,Yes,Yes,Yes,Casual,,Average,No,No,No,No,,No,Yes,No,1
carrabbas-henrietta,Carrabba's,"['italian', 'seafood']",43.086316,-77.636283,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3117.8448882972248,3.5,47,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,No,,2
yummy-garden-hot-pot-rochester-2,Yummy Garden Hot Pot,"['chinese', 'asianfusion', 'hotpot']",43.1038895,-77.6285019,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",4338.725618850319,4.0,108,False,Yes,Yes,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,Free,Yes,No,Yes,Yes,,2
taste-of-japan-restaurant-and-sushi-bar-rochester,Taste Of Japan Restaurant & Sushi Bar,"['japanese', 'sushi']",43.0909573,-77.6357674,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3242.90046964445,4.0,16,False,Yes,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Quiet,No,No,Free,No,,Yes,Yes,,2
the-melting-pot-of-rochester-rochester,The Melting Pot of Rochester,"['fondue', 'gourmet']",43.0835646009011,-77.633146876474,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3362.1029176812012,3.5,42,False,Yes,No,Yes,Yes,,"Dinner, Dessert",Private Lot,No,,No,Yes,Casual,Intimate,Quiet,Full Bar,No,Free,No,No,Yes,Yes,,3
raj-mahal-indian-restaurant-rochester,Raj Mahal Indian Restaurant,['indpak'],43.091074,-77.6449729,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2527.4068046956063,3.5,34,False,Yes,No,Yes,Yes,,Lunch,Private Lot,No,,Yes,Yes,Casual,"Casual, Classy",Average,Beer & Wine Only,No,No,No,,Yes,Yes,,2
texas-roadhouse-rochester,Texas Roadhouse,"['tradamerican', 'bbq', 'steak']",43.089473,-77.633804,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3364.132797323674,3.0,36,False,No,No,Yes,Yes,,Dinner,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,Yes,,Yes,Yes,,2
salsaritas-fresh-cantina-rochester,Salsarita's Fresh Cantina,['mexican'],43.0830071164399,-77.6808121427894,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",520.6102511622375,3.5,7,False,No,No,Yes,Yes,,Lunch,,Yes,,Yes,Yes,Casual,Casual,Very Loud,Full Bar,Yes,Free,Yes,,No,No,,1
seoul-house-korean-restaurant-rochester,Seoul House Korean Restaurant,['korean'],43.0956917,-77.6326981,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3634.9674791455027,3.5,49,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,No,Yes,No,,2
sodam-korean-restaurant-rochester,Sodam Korean Restaurant,['korean'],43.0887138274831,-77.6157670056844,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",4801.94894383838,4.0,139,False,Yes,No,Yes,Yes,,Dinner,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,,Yes,No,,2
mandarin-court-rochester,Mandarin Court,['chinese'],43.0695763,-77.6463928,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2751.860324829287,3.5,24,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,,Yes,No,Casual,,Average,No,Yes,No,Yes,,Yes,No,,1
sals-birdland-restaurants-chili,Sal's Birdland Restaurants,"['chicken_wings', 'sandwiches']",43.1174019,-77.6583208,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3942.6160620065452,4.5,10,False,No,No,Yes,Yes,,,,No,,Yes,Yes,Casual,,Average,No,,,Yes,,Yes,,,2
hibachi-sushi-buffet-rochester,Hibachi Sushi Buffet,"['japanese', 'buffets']",43.0866356,-77.6372528,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2513.865116066274,3.0,19,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,Yes,,Yes,Yes,,2
chipotle-mexican-grill-rochester-3,Chipotle Mexican Grill,"['mexican', 'hotdogs']",43.087517577307,-77.625336251829,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",4015.2640213180416,4.0,23,False,No,No,Yes,Yes,,Lunch,Private Lot,No,Yes,Yes,Yes,Casual,Casual,Loud,No,Yes,,No,,No,Yes,No,1
hoagies-deli-pizza-rochester,Hoagies Deli Pizza,"['pizza', 'delis']",43.09845,-77.678409,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",1639.1469274501412,3.5,9,False,No,Yes,Yes,Yes,No,,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,No,No,Yes,,1
amiels-subs-and-roast-beef-rochester-2,Amiel's Subs & Roast Beef,['restaurants'],43.0911293,-77.6362228,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3252.7680586720167,4.0,14,False,No,No,Yes,Yes,,Lunch,,No,,Yes,Yes,Casual,,Quiet,No,Yes,No,No,,No,Yes,,1
mandarin-sushi-and-grill-rochester-2,Mandarin Sushi & Grill,"['chinese', 'sushi']",43.0697296,-77.6461349,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2799.0999642711645,4.0,13,False,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Casual,,Quiet,Full Bar,No,No,Yes,,Yes,,,1
tokyo-japanese-rochester,Tokyo Japanese,['japanese'],43.0930862426758,-77.6327896118164,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3538.7161081175113,3.5,53,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,No,No,No,,Yes,No,,2
schallers-brighton-rochester,Schaller's Brighton,['tradamerican'],43.0966682,-77.6325378,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3676.841940928038,4.0,11,False,No,No,Yes,Yes,,Lunch,Private Lot,,Yes,Yes,Yes,Casual,Divey,Average,No,No,No,No,,No,No,,1
joes-crab-shack-henrietta,Joe's Crab Shack,"['seafood', 'tradamerican']",43.086525990362,-77.624069502173,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",4108.625362628943,3.5,35,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,,Yes,No,,2
baxters-rochester,Baxters,['newamerican'],43.0914878845215,-77.6636047363281,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",1253.534930890738,3.0,6,False,,,Yes,Yes,,,,,,Yes,,Casual,,Quiet,,,,,,,,,2
mighty-taco-rochester,Mighty Taco,['mexican'],43.0901908874512,-77.6438827514648,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",2583.722615988256,2.5,30,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,Yes,,No,,No,Yes,,1
nashvilles-rochester,Nashvilles,"['bars', 'tradamerican']",43.0559854456525,-77.6547789573669,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",3502.6112375674975,4.0,5,False,No,No,Yes,Yes,,,,No,,No,Yes,Casual,,Loud,Full Bar,No,No,Yes,,Yes,No,,2
sticky-lips-bbq-juke-joint-rochester-2,Sticky Lips BBQ Juke Joint,"['bbq', 'bars', 'musicvenues']",43.0878181,-77.6149597,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",4845.3222283757195,3.5,137,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Private Lot,No,,Yes,Yes,Casual,Casual,Loud,Full Bar,Yes,No,Yes,,Yes,Yes,,2
longhorn-steakhouse-henrietta,LongHorn Steakhouse,"['steak', 'tradamerican']",43.0872459,-77.6250534,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",4115.657695539539,3.5,24,False,Yes,No,Yes,Yes,,Dinner,Private Lot,Yes,No,Yes,Yes,Casual,Casual,Average,Full Bar,No,Free,Yes,,Yes,Yes,,2
luccis-pizza-and-grill-rochester-2,Lucci's Pizza And Grill,['pizza'],43.0785318822588,-77.6878831163049,NY,"1 Lomb Memorial Dr, Rochester, NY 14623",1241.449698432521,3.5,4,False,,,Yes,,,,,,,,,,,,,,,No,,,,,
