id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
tigerlily-berkeley-berkeley,Tigerlily Berkeley,"['bars', 'newamerican']",37.8797404028451,-122.26899094044,CA,"103 Sproul hall Berkeley, CA 94720",1448.5908115092943,4.0,53,False,Yes,No,No,Yes,,Brunch,Street,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,Yes,,Yes,,,2
simply-bowl-berkeley,Simply Bowl,"['japanese', 'asianfusion']",37.8720016,-122.2670135,CA,"103 Sproul hall Berkeley, CA 94720",786.2736476187873,4.5,88,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,,No,Yes,,1
kiraku-berkeley,Kiraku,"['japanese', 'tapasmallplates', 'tapas']",37.863683,-122.258976,CA,"103 Sproul hall Berkeley, CA 94720",647.8099851673128,4.5,445,False,Yes,No,No,Yes,,Dinner,Street,No,,No,No,Casual,Casual,Average,Beer & Wine Only,No,No,No,No,Yes,No,,2
gather-berkeley,Gather,"['newamerican', 'breakfast_brunch']",37.8694781027984,-122.266114248013,CA,"103 Sproul hall Berkeley, CA 94720",643.9640049817898,4.0,1536,False,Yes,No,No,Yes,,Dinner,"Garage, Street",Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,No,No,,Yes,No,,2
koja-kitchen-berkeley,KoJa Kitchen,"['asianfusion', 'japanese', 'korean']",37.8670846,-122.2587409,CA,"103 Sproul hall Berkeley, CA 94720",269.35614540318124,4.0,209,False,No,No,Yes,Yes,,Lunch,Street,No,Yes,Yes,Yes,Casual,Casual,Average,No,No,No,No,No,No,Yes,,1
smokes-poutinerie-berkeley,Smoke's Poutinerie,"['comfortfood', 'hotdogs', 'poutineries']",37.8678067612351,-122.25806995227,CA,"103 Sproul hall Berkeley, CA 94720",198.99362350243032,4.0,229,False,No,Yes,Yes,Yes,,"Lunch, Late Night",Street,Yes,Yes,Yes,No,Casual,Divey,Average,No,No,No,No,No,No,Yes,No,1
angelines-louisiana-kitchen-berkeley,Angeline's Louisiana Kitchen,"['cajun', 'southern', 'seafood']",37.8682228177786,-122.267609462142,CA,"103 Sproul hall Berkeley, CA 94720",786.9035841577438,4.0,2720,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,Yes,,2
heavenly-vietnamese-fusion-food-berkeley,Heavenly - Vietnamese Fusion Food,"['vietnamese', 'foodtrucks', 'comfortfood']",37.8695145,-122.2539444,CA,"103 Sproul hall Berkeley, CA 94720",400.60398253692824,4.5,51,False,No,No,Yes,Yes,,Brunch,,Yes,,Yes,Yes,Casual,,,No,No,No,No,,No,No,,1
montagues-gourmet-sandwiches-berkeley-2,Montague's Gourmet Sandwiches,['sandwiches'],37.8668365,-122.2582779,CA,"103 Sproul hall Berkeley, CA 94720",311.2108411627671,4.5,160,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,No,Casual,Casual,Average,No,No,No,Yes,,No,Yes,,1
tivoli-caffe-berkeley,Tivoli Caffe,"['cafes', 'pizza', 'sandwiches']",37.8687827,-122.2578922,CA,"103 Sproul hall Berkeley, CA 94720",111.93749851903846,4.5,111,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Quiet,No,No,Free,No,No,Yes,Yes,,1
