id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
five-on-black-missoula,Five on Black,"['brazilian', 'hotdogs']",46.872852,-113.9938406,MT,"32 Campus Dr, Missoula, MT 59812",1444.4123635173328,4.5,67,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,Free,No,,No,No,No,1
dinosaur-cafe-missoula,Dinosaur Cafe,"['tradamerican', 'cajun']",46.8736916,-113.9926834,MT,"32 Campus Dr, Missoula, MT 59812",1504.9288763754364,4.0,29,False,No,No,Yes,No,,Dinner,Street,Yes,Yes,No,Yes,Casual,"Divey, Casual",Very Loud,Full Bar,No,No,Yes,,No,No,,1
biga-pizza-missoula,Biga Pizza,"['pizza', 'italian']",46.871799,-113.997536,MT,"32 Campus Dr, Missoula, MT 59812",1504.400050203588,4.5,163,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,No,,Yes,Yes,,2
red-bird-restaurant-and-wine-bar-missoula-2,Red Bird Restaurant and Wine Bar,['newamerican'],46.8703804,-113.9954224,MT,"32 Campus Dr, Missoula, MT 59812",1287.8908786214083,4.0,67,False,Yes,No,No,Yes,,Dinner,Street,Yes,Yes,No,Yes,Dressy,Romantic,Average,Beer & Wine Only,No,No,No,,Yes,Yes,,3
plonk-missoula,Plonk,"['wine_bars', 'newamerican']",46.872736,-113.993209,MT,"32 Campus Dr, Missoula, MT 59812",1410.9057623318347,4.5,55,False,Yes,No,No,Yes,,"Dinner, Dessert",Street,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,No,No,Yes,No,,3
hob-nob-on-higgins-missoula,Hob Nob On Higgins,['breakfast_brunch'],46.8661670386791,-113.997541666031,MT,"32 Campus Dr, Missoula, MT 59812",1100.830669894842,4.0,103,False,No,No,Yes,Yes,,"Breakfast, Brunch",Street,Yes,Yes,Yes,No,Casual,Casual,Average,No,Yes,Free,No,,No,No,,1
the-silk-road-missoula,The Silk Road,"['tapasmallplates', 'gluten_free']",46.866603,-113.997947,MT,"32 Campus Dr, Missoula, MT 59812",1148.7540080422095,4.0,105,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Hipster,Average,Beer & Wine Only,No,No,No,,Yes,Yes,,2
greek-gyros-and-pastry-shop-missoula,Greek Gyros & Pastry Shop,['greek'],46.8652191,-114.0041428,MT,"32 Campus Dr, Missoula, MT 59812",1527.1397377298845,4.5,65,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,Yes,No,No,,No,No,,1
tamarack-brewing-company-missoula,Tamarack Brewing Company,"['sportsbars', 'breweries', 'tradamerican']",46.8709667728939,-113.997316360474,MT,"32 Campus Dr, Missoula, MT 59812",1422.99976174619,3.5,109,False,No,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,No,,2
tagliare-delicatessen-missoula,Tagliare Delicatessen,"['delis', 'sandwiches']",46.857811,-113.9975739,MT,"32 Campus Dr, Missoula, MT 59812",1053.544947556141,4.5,44,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,Yes,Yes,No,Casual,"Hipster, Casual",Average,No,Yes,Free,No,No,No,Yes,,2
