id,name,categories,latitude,longitude,state,college,distance_from_college,rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
silk-road-vermillion,Silk Road,['korean'],42.7793549001,-96.9322349131,SD,"414 E Clark St, Vermillion, SD 57069",719.672170817,4,14,False,Yes,No,Yes,Yes,,,Street,Yes,,Yes,Yes,Casual,,Quiet,Beer & Wine Only,No,No,No,,Yes,,,2
cafe-brule-vermillion-2,Cafe Brule,"['cafes', 'coffee']",42.7793107964,-96.9337195158,SD,"414 E Clark St, Vermillion, SD 57069",818.5724734946,4,17,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,No,Free,No,,Yes,Yes,,2
mister-smiths-bakery-vermillion,Mister Smith's Bakery,"['catering', 'bakeries', 'tradamerican']",42.7930794,-96.9321518,SD,"414 E Clark St, Vermillion, SD 57069",684.1815621734,4.5,16,False,No,Yes,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Quiet,No,No,No,Yes,,No,,,1
red-steakhouse-vermillion,RED Steakhouse,"['tradamerican', 'steak', 'sandwiches']",42.779353559,-96.9318734854,SD,"414 E Clark St, Vermillion, SD 57069",711.3267137435,4,16,False,Yes,No,Yes,Yes,,,Street,Yes,Yes,Yes,Yes,Dressy,Classy,Loud,Full Bar,No,Free,Yes,No,Yes,Yes,,2
chaes-vermillion,Chae's,['chinese'],42.7793549001,-96.9322349131,SD,"414 E Clark St, Vermillion, SD 57069",762.2870388603,4,9,False,No,Yes,Yes,Yes,,,Street,Yes,Yes,Yes,Yes,Casual,,Quiet,Beer & Wine Only,No,No,No,,Yes,,,2
raziels-vermillion-2,Raziel's,"['italian', 'wine_bars']",42.7794447541,-96.9322349131,SD,"414 E Clark St, Vermillion, SD 57069",726.2914746598,3.5,4,False,,,,Yes,,,,,,No,Yes,Casual,,Quiet,Beer & Wine Only,Yes,,Yes,,Yes,,,2
little-italys-vermillion,Little Italy's,['pizza'],42.7865948528,-96.9192449749,SD,"414 E Clark St, Vermillion, SD 57069",632.8566695362,4.5,6,False,Yes,Yes,Yes,Yes,,"Lunch, Dinner",Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,No,No,No,,Yes,,,2
r-pizza-vermillion,R-Pizza,"['pizza', 'sandwiches']",42.7793549001,-96.9322349131,SD,"414 E Clark St, Vermillion, SD 57069",712.1539173415,4,4,False,Yes,Yes,Yes,Yes,,Lunch,Street,,Yes,Yes,Yes,Casual,,,Beer & Wine Only,No,,No,,Yes,,,1
old-lumber-company-vermillion,Old Lumber Company,"['bars', 'tradamerican']",42.7785469459,-96.9326060638,SD,"414 E Clark St, Vermillion, SD 57069",812.0541831869,3.5,6,False,No,,Yes,Yes,,,,Yes,,No,Yes,Casual,,Very Loud,Full Bar,No,Free,Yes,,Yes,No,,2
bunyans-vermillion,Bunyan's,"['newamerican', 'beer_and_wine']",42.7815402299,-96.9498925656,SD,"414 E Clark St, Vermillion, SD 57069",1870.2620003402,4,5,False,,,,Yes,,,,,,,,,,,,,,,,,,,
mexico-viejo-mexican-restaurant-vermillion,Mexico Viejo Mexican Restaurant,['mexican'],42.7867966,-96.925972,SD,"414 E Clark St, Vermillion, SD 57069",332.2001697392,2.5,15,False,Yes,No,Yes,Yes,,,Private Lot,No,Yes,Yes,Yes,Casual,,Quiet,Full Bar,No,No,No,,Yes,Yes,,2
cherry-street-grille-vermillion,Cherry Street Grille,['tradamerican'],42.7866706252,-96.9147469103,SD,"414 E Clark St, Vermillion, SD 57069",860.9511422631,2,5,False,No,Yes,Yes,Yes,,"Breakfast, Brunch",Private Lot,Yes,No,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,No,Yes,,Yes,No,,2
howlers-bar-and-grille-vermillion,Howler's Bar & Grille,"['bars', 'tradamerican']",42.7889384329,-96.9292710721,SD,"414 E Clark St, Vermillion, SD 57069",588.8609191628,3.5,5,False,Yes,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Quiet,Full Bar,No,Free,Yes,,Yes,No,,2
mi-famila-vermillion,Mi Famila,['mexican'],42.7785469459,-96.9326060638,SD,"414 E Clark St, Vermillion, SD 57069",812.0541831869,3,3,False,,,,,,,,,,Yes,,,,,,,,,,Yes,,,
charcoal-lounge-vermillion,Charcoal Lounge,"['nightlife', 'restaurants']",42.7794427425,-96.9318191707,SD,"414 E Clark St, Vermillion, SD 57069",706.3094874111,2,2,False,,No,,,,,,,,No,No,Casual,,Quiet,Full Bar,No,No,,,,No,,2
the-roadhouse-vermillion,The Roadhouse,['newamerican'],42.7866145135,-96.9175322846,SD,"414 E Clark St, Vermillion, SD 57069",748.7476031665,2,1,False,,,,Yes,,,,,,No,,,,,,,,,,,,,
dominos-pizza-vermillion,Domino's Pizza,"['pizza', 'chicken_wings', 'sandwiches']",42.786828205,-96.9243887812,SD,"414 E Clark St, Vermillion, SD 57069",335.2564832934,2,1,False,,,,,,,,,,,,,,,,,,No,,No,,,
mcdonalds-vermillion,McDonald's,"['hotdogs', 'burgers']",42.7868194878,-96.9292811304,SD,"414 E Clark St, Vermillion, SD 57069",400.0895208445,4,1,False,,,,Yes,,,,,,,,,,,,,,,,,,,
subway-vermillion-2,Subway,"['sandwiches', 'hotdogs']",42.7866927534,-96.9175370783,SD,"414 E Clark St, Vermillion, SD 57069",771.2254899013,4,1,False,No,No,Yes,Yes,,,,Yes,,Yes,,Casual,,Average,No,No,,No,,No,Yes,,1
jimmy-johns-vermillion,Jimmy John's,['sandwiches'],42.8135365862,-96.9340896606,SD,"414 E Clark St, Vermillion, SD 57069",3350.1707676632,5,1,False,No,Yes,Yes,Yes,,,,Yes,,Yes,No,Casual,,Loud,No,No,,No,,No,Yes,,2
dairy-queen-vermillion,Dairy Queen,"['icecream', 'hotdogs']",42.7866002172,-96.9178394973,SD,"414 E Clark St, Vermillion, SD 57069",735.7419912773,4,1,False,No,No,Yes,Yes,,,,Yes,,Yes,Yes,Casual,,Average,No,Yes,,,,No,No,Yes,1
whimps-place-burbank,Whimp's Place,['tradamerican'],42.7460251,-96.8282013,SD,"414 E Clark St, Vermillion, SD 57069",9046.5199750842,4,3,False,,No,Yes,Yes,,,,No,,Yes,Yes,Casual,,Average,Full Bar,No,,Yes,,Yes,,,2
spink-cafe-elk-point,Spink Cafe,['restaurants'],42.8515015,-96.7462311,SD,"414 E Clark St, Vermillion, SD 57069",14808.3178620491,4,3,False,No,No,Yes,Yes,,,,,,Yes,Yes,Casual,,Average,No,Yes,No,Yes,,Yes,No,,1
tobys-lounge-meckling,Toby's Lounge,"['beer_and_wine', 'restaurants']",42.8373737633,-97.0721825212,SD,"414 E Clark St, Vermillion, SD 57069",13384.7895715761,3,1,False,,,Yes,,,,,,,,,,,,Full Bar,,,,,,,,1
