id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
eat-ann-arbor-charter-township,eat,"['catering', 'streetvendors', 'newamerican']",42.2585716,-83.7287216,MI,"500 S State St, Ann Arbor, MI 48109",2233.0183389426,4.5,53,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,No,Casual,Hipster,Average,No,Yes,No,No,,No,Yes,,2,
frita-batidos-ann-arbor,Frita Batidos,"['cuban', 'burgers']",42.280388736,-83.7494552135,MI,"500 S State St, Ann Arbor, MI 48109",813.6940604064,4,598,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,No,,No,Yes,No,2,
zingermans-delicatessen-ann-arbor-2,Zingerman's Delicatessen,"['delis', 'breakfast_brunch', 'sandwiches']",42.2844740042,-83.7452775307,MI,"500 S State St, Ann Arbor, MI 48109",972.2749502118,4,968,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Loud,No,Yes,Free,No,,No,Yes,,2,
jerusalem-garden-ann-arbor,Jerusalem Garden,"['mideastern', 'mediterranean']",42.279186,-83.745895,MI,"500 S State St, Ann Arbor, MI 48109",529.3728983609,4,396,False,No,No,Yes,Yes,,Lunch,Street,Yes,No,Yes,No,Casual,Casual,Average,No,Yes,No,No,,Yes,Yes,,1,
aventura-ann-arbor,Aventura,"['tapas', 'spanish', 'bars']",42.28026,-83.746473,MI,"500 S State St, Ann Arbor, MI 48109",616.8209366402,4,190,False,Yes,No,No,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,No,No,Yes,No,,2,
mani-osteria-and-bar-ann-arbor,Mani Osteria & Bar,"['italian', 'pizza']",42.2794617,-83.744403,MI,"500 S State St, Ann Arbor, MI 48109",439.6294556651,4,348,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,Yes,No,Yes,Yes,,2,
jolly-pumpkin-cafe-and-brewery-ann-arbor-3,Jolly Pumpkin Cafe & Brewery,"['pubs', 'newamerican']",42.2788765571,-83.7485352159,MI,"500 S State St, Ann Arbor, MI 48109",662.9016019339,4,424,False,Yes,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,No,No,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,No,,2,
monahans-seafood-market-ann-arbor,Monahan's Seafood Market,"['seafood', 'seafoodmarkets']",42.2843156755,-83.7459267676,MI,"500 S State St, Ann Arbor, MI 48109",949.2616465266,4.5,80,False,No,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,No,Casual,Casual,Loud,No,Yes,Free,No,No,Yes,Yes,,2,
neopapalis-ann-arbor,NeoPapalis,"['salad', 'pizza', 'sandwiches']",42.2775307,-83.7428818,MI,"500 S State St, Ann Arbor, MI 48109",193.7971634078,4,119,False,No,No,Yes,Yes,,"Lunch, Dinner",Street,Yes,,Yes,Yes,Casual,Casual,Average,Beer & Wine Only,Yes,Free,Yes,,No,Yes,,1,
the-lunch-room-ann-arbor-4,The Lunch Room,"['vegan', 'vegetarian', 'gluten_free']",42.28445792,-83.7464096625,MI,"500 S State St, Ann Arbor, MI 48109",1005.7426259522,4.5,97,False,No,No,Yes,Yes,,Lunch,"Garage, Street, Private Lot",Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,,No,No,Yes,Yes,,1,
pacific-rim-ann-arbor,Pacific Rim,['asianfusion'],42.279816,-83.749374,MI,"500 S State St, Ann Arbor, MI 48109",774.0182563893,4,262,False,Yes,No,No,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Romantic,Average,Full Bar,No,No,No,,Yes,No,,3,
isalita-ann-arbor,Isalita,['mexican'],42.2794618,-83.7444065,MI,"500 S State St, Ann Arbor, MI 48109",439.8052401722,4,211,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,Yes,No,Yes,Casual,Trendy,Average,Full Bar,Yes,Free,Yes,No,Yes,Yes,,2,
babo-a-market-by-sava-ann-arbor-3,Babo: A Market By Sava,"['delis', 'coffee', 'grocery']",42.2804794,-83.7433929,MI,"500 S State St, Ann Arbor, MI 48109",520.3500408209,4.5,78,False,No,No,Yes,Yes,,Lunch,Street,Yes,,Yes,No,Casual,Hipster,Average,Beer & Wine Only,Yes,Free,No,,No,Yes,,2,
savas-ann-arbor,Sava's,['newamerican'],42.2795792,-83.7409668,MI,"500 S State St, Ann Arbor, MI 48109",383.4436876265,3.5,381,False,Yes,No,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,Free,Yes,,Yes,Yes,,2,
tomukun-korean-barbeque-ann-arbor,Tomukun Korean Barbeque,"['korean', 'bbq']",42.2795502,-83.7427918,MI,"500 S State St, Ann Arbor, MI 48109",387.9973557063,4,66,False,Yes,No,Yes,Yes,,Dinner,Street,Yes,,Yes,Yes,Casual,Casual,Average,Full Bar,Yes,No,Yes,,Yes,No,,2,
