id,name,categories,latitude,longitude,state,college,distance_from_college,rating,acadamic_rating,review_count,permanently_closed,TakesReservations,Delivery,Take-out,AcceptsCreditCards,AcceptsBitcoin,GoodFor,Parking,BikeParking,WheelchairAccessible,GoodforKids,GoodforGroups,Attire,Ambience,NoiseLevel,Alcohol,OutdoorSeating,Wi-Fi,HasTV,DogsAllowed,WaiterService,Caters,Drive-Thru,Price
the-board-and-brew-college-park-4,The Board and Brew,['cafes'],38.991735,-76.934258,MD,"University of Maryland College Park, 20740",676.1818960177,4,NA,55,False,No,No,Yes,Yes,No,Lunch,Garage,Yes,,Yes,Yes,Casual,Casual,Loud,Beer & Wine Only,Yes,Free,No,No,Yes,No,,1
marathon-deli-college-park,Marathon Deli,"['delis', 'greek']",38.981737867,-76.9386170805,MD,"University of Maryland College Park, 20740",499.116600039,4.5,4.5,169,False,No,No,Yes,Yes,,Lunch,"Street, Private Lot",Yes,Yes,Yes,No,Casual,Casual,Average,No,No,No,Yes,No,No,Yes,,1
blaze-fast-fired-pizza-college-park-2,Blaze Fast-Fire'd Pizza,"['pizza', 'gluten_free', 'salad']",38.981842,-76.937561,MD,"University of Maryland College Park, 20740",477.7482812539,4,NA,53,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,No,No,,No,No,,1
ovo-simply-veggie-college-park,OVO Simply Veggie,"['vegetarian', 'asianfusion', 'vegan']",38.979866,-76.937758,MD,"University of Maryland College Park, 20740",698.2725666152,4,NA,137,False,Yes,No,Yes,Yes,No,"Lunch, Dinner","Garage, Street",Yes,Yes,Yes,No,Casual,Casual,Quiet,No,No,No,No,Yes,Yes,Yes,,1
pho-d-lite-college-park,Pho D'Lite,['asianfusion'],38.991249,-76.932747,MD,"University of Maryland College Park, 20740",692.3759752817,3.5,4,173,False,No,No,Yes,Yes,,Lunch,Private Lot,Yes,,Yes,Yes,Casual,Casual,Average,No,No,Free,No,,Yes,No,,1
maryland-food-collective-college-park-2,Maryland Food Collective,['sandwiches'],38.9871902,-76.948288,MD,"University of Maryland College Park, 20740",722.0233460054,4.5,4.5,40,False,No,No,Yes,Yes,,Lunch,"Garage, Street",Yes,Yes,Yes,Yes,Casual,Hipster,Average,No,No,No,No,,No,Yes,,1
aroy-thai-restaurant-college-park,Aroy Thai Restaurant,['thai'],38.9817734,-76.9369507,MD,"University of Maryland College Park, 20740",488.6560262907,4,4.5,102,False,No,Yes,Yes,Yes,,"Lunch, Dinner",Street,Yes,,Yes,No,Casual,Casual,Quiet,No,No,No,No,,Yes,Yes,,2
krazi-kebob-college-park,Krazi Kebob,"['indpak', 'mexican', 'pakistani']",38.98148,-76.938888,MD,"University of Maryland College Park, 20740",535.3751009685,4,3.5,131,False,No,Yes,Yes,Yes,,Lunch,Private Lot,Yes,Yes,Yes,Yes,Casual,Casual,Average,No,No,Free,Yes,,No,Yes,,1
fishnet-college-park,Fishnet,"['seafood', 'sandwiches', 'fishnchips']",38.9948556381,-76.9259493771,MD,"University of Maryland College Park, 20740",1379.9608071461,4,4,134,False,No,Yes,Yes,Yes,,Lunch,Street,Yes,Yes,Yes,Yes,Casual,Casual,Quiet,Beer & Wine Only,Yes,Free,No,No,No,No,,2
ten-rens-tea-time-college-park-2,Ten Ren's Tea Time,"['coffee', 'tea', 'taiwanese']",38.981613,-76.938075,MD,"University of Maryland College Park, 20740",507.2613176333,3.5,NA,184,False,Yes,No,Yes,Yes,,,Street,Yes,Yes,Yes,Yes,Casual,,Average,No,No,Free,Yes,,,,,1
